bom_id,category,material_name,base_quantity,unit,wastage_percent,final_quantity,unit_rate_inr,total_cost_inr,region,season,grade
BOM-0001,Electrical,Wires,37.84,sqft,20.61,45.64,250.61,11437.84,south,monsoon,Standard
BOM-0002,Electrical,Wires,223.5,sqft,17.27,262.1,547.82,143583.62,south,summer,Standard
BOM-0003,Carpentry,Edge Band,73.63,sqft,18.23,87.05,522.67,45498.42,west,monsoon,Premium
BOM-0004,Carpentry,Edge Band,137.52,sqft,12.73,155.03,787.6,122101.63,south,monsoon,Premium
BOM-0005,Painting,Emulsion Paint,86.97,sqft,11.66,97.11,696.6,67646.83,south,summer,Premium
BOM-0006,Carpentry,Laminate,110.9,sqft,13.85,126.26,267.49,33773.29,south,monsoon,Premium
BOM-0007,Plumbing,CPVC Pipe,41.82,sqft,23.68,51.72,107.77,5573.86,north,monsoon,Premium
BOM-0008,Plumbing,UPVC Pipe,61.73,sqft,9.18,67.4,608.69,41025.71,north,summer,Standard
BOM-0009,Carpentry,Laminate,117.14,sqft,15.71,135.54,757.33,102648.51,south,normal,Premium
BOM-0010,Carpentry,Edge Band,202.7,sqft,19.93,243.1,627.85,152630.33,south,monsoon,Standard
BOM-0011,Plumbing,CPVC Pipe,220.09,sqft,10.78,243.82,366.33,89318.58,west,monsoon,Standard
BOM-0012,Electrical,Wires,100.66,sqft,21.06,121.86,88.11,10737.08,south,normal,Premium
BOM-0013,Carpentry,Hinges,24.53,sqft,23.52,30.3,527.77,15991.43,west,normal,Standard
BOM-0014,Electrical,Wires,152.27,sqft,23.04,187.35,592.85,111070.45,south,normal,Standard
BOM-0015,Carpentry,Edge Band,224.77,sqft,17.16,263.34,682.43,179711.12,north,monsoon,Premium
BOM-0016,Painting,Emulsion Paint,69.7,sqft,24.96,87.1,478.19,41650.35,south,summer,Standard
BOM-0017,Carpentry,Adhesive,190.1,kg,21.47,230.91,403.06,93070.58,south,normal,Premium
BOM-0018,Plumbing,UPVC Pipe,298.86,sqft,16.99,349.64,875.13,305980.45,south,monsoon,Standard
BOM-0019,Electrical,Wires,266.01,sqft,20.76,321.23,700.99,225179.02,north,summer,Premium
BOM-0020,Painting,Primer,51.66,sqft,8.06,55.82,661.0,36897.02,west,normal,Standard
BOM-0021,Plumbing,CPVC Pipe,274.23,sqft,22.8,336.75,296.66,99900.26,west,monsoon,Standard
BOM-0022,Carpentry,Adhesive,115.3,kg,10.75,127.69,860.01,109814.68,west,summer,Premium
BOM-0023,Painting,Putty,10.75,kg,23.79,13.31,795.7,10590.77,north,summer,Standard
BOM-0024,Carpentry,Edge Band,264.01,sqft,24.1,327.64,113.66,37239.56,north,summer,Standard
BOM-0025,Carpentry,Adhesive,199.63,kg,24.1,247.74,182.01,45091.16,west,monsoon,Premium
BOM-0026,Carpentry,Edge Band,279.03,sqft,20.84,337.18,633.29,213532.72,west,normal,Premium
BOM-0027,Electrical,Wires,196.71,sqft,15.45,227.1,485.12,110170.75,south,summer,Standard
BOM-0028,Carpentry,Laminate,104.74,sqft,18.0,123.59,237.9,29402.06,south,summer,Standard
BOM-0029,Electrical,Switches,191.18,sqft,11.89,213.91,818.66,175119.56,north,summer,Standard
BOM-0030,Carpentry,Hinges,202.35,sqft,11.64,225.9,153.79,34741.16,west,monsoon,Premium
BOM-0031,Carpentry,Edge Band,236.46,sqft,21.73,287.84,203.75,58647.4,south,monsoon,Premium
BOM-0032,Painting,Emulsion Paint,129.96,sqft,15.94,150.68,667.01,100505.07,west,monsoon,Standard
BOM-0033,Carpentry,Plywood,123.77,sqft,13.77,140.81,781.04,109978.24,south,summer,Standard
BOM-0034,Plumbing,CPVC Pipe,137.34,sqft,15.17,158.17,279.55,44216.42,south,summer,Premium
BOM-0035,Plumbing,CPVC Pipe,33.88,sqft,19.09,40.35,504.91,20373.12,south,summer,Standard
BOM-0036,Carpentry,Adhesive,124.89,kg,16.18,145.1,783.6,113700.36,south,summer,Premium
BOM-0037,Carpentry,Plywood,295.67,sqft,12.51,332.66,714.3,237619.04,north,normal,Premium
