material,normalized_material,industry,region,grade,confidence,season,wbs_id,acceptance_stage_prediction_accuracy,acceptance_duration_mape,dependencies,wbs_stage_key,task_id,task_name,stage,stage_name,dur_optimistic_hours,dur_most_likely_hours,dur_pessimistic_hours,dur_expected_hours,planned_quantity,actual_quantity,quantity_variance,planned_rate,actual_rate,rate_variance,planned_cost,actual_cost,cost_variance,material_issued_qty,material_consumed_qty,material_returned_qty,material_wastage_qty,planned_start_date,planned_end_date,executed_start_date,executed_end_date,planned_labor_hours,actual_labor_hours,planned_labor_cost,labor_cost_actual,crew_size,machinery_used,weather_condition,site_condition,dpr_date,daily_progress,ncr_count,rework_quantity,rework_cost,deviation_reason
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL01,Site Inspection And Planning,1,Planning,2.88,3.11,3.67,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL02,Method Statement Finalization,1,Planning,8.34,7.69,7.54,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL03,Layout Marking,1,Planning,4.09,6.36,6.86,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR01,Chemical Procurement,2,Procurement,5.98,5.62,5.54,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR02,Ppe Procurement,2,Procurement,6.04,5.96,5.83,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX01,Sludge Removal,3,Execution,8.14,12.21,17.99,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX02,Scrubbing,3,Execution,7.74,11.52,16.95,11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX03,Chemical Cleaning,3,Execution,8.36,8.54,8.3,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX04,Rinsing,3,Execution,8.13,10.67,16.32,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX05,Disinfection,3,Execution,7.54,7.93,7.72,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
